Date,Time,Vrms,Irms,Temp
15/09/2025,10:24:48 a. m.,226.06,29.79,0.7
15/09/2025,10:24:27 a. m.,224.99,29.47,0.7
15/09/2025,10:24:07 a. m.,226.88,31.55,0.7
15/09/2025,10:23:47 a. m.,225.02,29.64,0.7
15/09/2025,10:23:26 a. m.,226.59,30.24,0.7
15/09/2025,10:23:06 a. m.,227.33,30.16,0.7
15/09/2025,10:22:46 a. m.,225.1,30.36,0.7
15/09/2025,10:22:27 a. m.,225.08,29.28,0.7
15/09/2025,10:22:07 a. m.,224.72,29.68,0.7
15/09/2025,10:21:48 a. m.,225.15,30.16,0.7
15/09/2025,10:21:28 a. m.,225.75,30.08,0.7
15/09/2025,10:21:08 a. m.,225.66,30.16,0.7
15/09/2025,10:20:45 a. m.,226.38,31.23,0.7
15/09/2025,10:20:24 a. m.,226.28,30.28,0.7
15/09/2025,10:20:03 a. m.,224.66,29.56,0.7
15/09/2025,10:19:42 a. m.,225.34,29.74,0.7
15/09/2025,10:19:19 a. m.,226.65,30.11,0.7
15/09/2025,10:19:00 a. m.,226.27,30.43,0.7
15/09/2025,10:18:40 a. m.,225.84,29.7,0.7
15/09/2025,10:18:18 a. m.,225.93,29.66,0.7
15/09/2025,10:17:49 a. m.,226.53,30,0.7
15/09/2025,10:17:24 a. m.,226.96,29.9,0.7
15/09/2025,10:17:04 a. m.,224.58,29.05,0.7
15/09/2025,10:16:45 a. m.,226.03,30.2,0.7
15/09/2025,10:16:24 a. m.,226.19,29.51,0.7
15/09/2025,10:16:02 a. m.,225.83,30.16,0.7
15/09/2025,10:15:43 a. m.,225.54,30.1,0.7
15/09/2025,10:15:11 a. m.,225.74,29.96,0.7
15/09/2025,10:14:47 a. m.,225.66,30.27,0.7
15/09/2025,10:14:21 a. m.,226.34,30.08,0.7
15/09/2025,10:14:02 a. m.,226.4,30.42,0.7
15/09/2025,10:13:42 a. m.,226.3,30.27,0.7
15/09/2025,10:13:22 a. m.,226.64,29.08,0.7
15/09/2025,10:13:00 a. m.,225.28,33.86,0.69
15/09/2025,10:12:41 a. m.,226.12,34.65,0.69
15/09/2025,10:12:20 a. m.,226.31,30.03,0.7
15/09/2025,10:11:58 a. m.,226.5,30.13,0.7
15/09/2025,10:11:38 a. m.,226.17,30.11,0.7
15/09/2025,10:11:17 a. m.,226.05,30.55,0.7
15/09/2025,10:10:55 a. m.,226.65,29.19,0.7
15/09/2025,10:10:32 a. m.,225.48,29.12,0.7
15/09/2025,10:10:12 a. m.,226.34,28.95,0.7
15/09/2025,10:09:51 a. m.,225.98,29.23,0.7
15/09/2025,10:09:31 a. m.,226.36,29.15,0.7
15/09/2025,10:09:10 a. m.,227.1,30.66,0.7
15/09/2025,10:08:50 a. m.,225.63,28.37,0.7
15/09/2025,10:08:30 a. m.,225.5,29.35,0.7
15/09/2025,10:08:08 a. m.,225.24,29.22,0.7
15/09/2025,10:07:46 a. m.,228.98,30.19,0.7
15/09/2025,10:07:23 a. m.,224.78,29.55,0.7
15/09/2025,10:06:32 a. m.,224.93,29.37,0.7
15/09/2025,10:06:10 a. m.,225.58,30.63,0.7
15/09/2025,10:05:51 a. m.,224.96,29.36,0.7
15/09/2025,10:05:31 a. m.,225.35,30.07,0.7
15/09/2025,10:05:12 a. m.,225.43,34.31,0.69
15/09/2025,10:04:52 a. m.,226.27,30.29,0.7
15/09/2025,10:04:30 a. m.,225.92,29.85,0.7
15/09/2025,10:04:09 a. m.,223.82,29.22,0.7
15/09/2025,10:03:27 a. m.,224.44,29.95,0.7
15/09/2025,10:02:31 a. m.,225.88,106.5,0.65
15/09/2025,10:01:37 a. m.,224.39,106.79,0.65
15/09/2025,10:01:16 a. m.,224.82,105.85,0.65
15/09/2025,10:00:57 a. m.,225.51,106.78,0.65
15/09/2025,10:00:38 a. m.,225.2,106.72,0.65
15/09/2025,10:00:17 a. m.,225.43,106.11,0.65
15/09/2025,09:59:58 a. m.,223.71,107,0.65
